A,B,C
1,5,5
5,3,3
3,0,2
2,1,3
4,3,1
1,3,3
5,4,1
5,5,5
4,1,2
1,4,2
0,2,1
1,1,2
2,0,3
2,5,1
0,2,0
1,4,5
3,0,2
2,2,0
1,2,2
3,3,1
3,3,5
5,5,2
3,1,0
2,0,1
10,7,10
5,6,10
6,8,5
5,5,9
5,7,5
6,10,10
10,10,7
10,7,8
8,9,8
6,5,6
10,7,9
7,9,5
7,10,8
5,5,8
9,7,8
5,10,8
6,5,8
5,5,9
7,8,6
6,8,10
5,5,7
9,9,7
9,5,8
10,6,8
9,7,8
12,14,15
13,10,13
14,10,10
11,15,13
10,13,11
13,13,11
14,10,10
10,15,12
13,14,15
12,11,13
11,14,15
11,13,10
14,15,13
14,10,14
13,11,15
14,15,13
13,13,11
12,10,14
15,11,11
12,12,12
12,11,12
13,14,14
13,14,15
10,14,12
10,11,15
7,12,11
10,10,11
12,9,9
8,9,8
8,8,8
9,12,7
11,9,10
8,11,11
9,8,12
7,10,10
8,7,10
7,12,12
10,12,9
7,11,12
11,7,12
9,9,9
8,7,7
8,11,11
12,7,9
7,8,12
10,9,12
10,11,8
11,7,10
7,8,11
8,11,11
